low,mid,up
2,1,11
3,13,55
4,17,98
5,18,124
6,21,151
7,24,173
8,25,174
9,26,179
10,27,180
12,28,183
14,31,186
15,32,187
16,33,188
19,35,191
20,36,198
22,40,200
23,41,201
29,49,205
30,50,206
34,58,221
37,59,225
38,66,226
39,73,227
42,74,231
43,79,245
44,80,257
45,81,258
46,84,288
47,85,291
48,91,294
51,92,295
52,111,306
53,112,307
54,120,335
56,121,347
57,122,383
60,123,384
61,136,405
62,140,406
63,141,429
64,143,494
65,144,497
67,145,499
68,146,500
69,150,547
70,157,577
71,158,582
72,192,602
75,209,615
76,213,616
77,214,625
78,228,634
82,244,644
83,249,668
86,250,678
87,254,679
88,264,683
89,274,684
90,275,685
93,276,713
94,278,714
95,279,719
96,280,720
97,281,750
99,286,780
100,287,792
101,303,793
102,304,828
103,305,830
104,310,843
105,311,846
106,312,851
107,317,853
108,319,898
109,320,941
110,321,942
113,342,945
114,346,946
115,348,948
116,367,949
117,368,966
118,385,995
119,386,996
125,391,997
126,392,998
127,396,1018
128,397,1019
129,398,1020
130,401,1045
131,419,1051
132,420,1052
133,421,1076
134,438,1077
135,439,1087
137,441,1088
138,442,1089
139,446,1105
142,447,1119
147,450,1135
148,461,1136
149,462,1137
152,464,1146
153,466,1151
154,467,1160
155,468,1209
156,482,1210
159,496,1226
160,503,1227
161,512,1235
162,513,1251
163,514,1252
164,519,1257
165,520,1275
166,523,1276
167,524,1277
168,525,1294
169,533,1295
170,534,1308
171,535,1309
172,544,1310
175,550,1325
176,554,1332
177,555,1370
178,556,1374
181,569,1381
182,570,1382
184,571,1392
185,572,1393
189,573,1394
190,574,1398
193,583,1402
194,584,1408
195,601,1409
196,608,1412
197,609,1413
199,610,1414
202,611,1423
203,628,1424
204,629,1429
207,635,1431
208,636,1432
210,649,1437
211,661,1445
212,665,1448
215,677,1449
216,692,1464
217,693,1475
218,700,1476
219,701,1483
220,702,1484
222,726,1485
223,730,1494
224,733,1495
229,740,1496
230,741,1508
232,751,1510
233,752,1511
234,756,1520
235,757,1555
236,758,1556
237,760,1592
238,763,1598
239,766,1607
240,770,1613
241,771,1625
242,772,1626
243,777,1629
246,784,1630
247,785,1638
248,786,1645
251,790,1654
252,791,1667
253,794,1670
255,798,1671
256,811,1672
259,813,1673
260,814,1685
261,826,1686
262,833,1688
263,837,1690
265,841,1695
266,842,1718
267,848,1719
268,849,1721
269,852,1722
270,858,1723
271,859,1725
272,863,1726
273,867,1736
277,868,1745
282,871,1746
283,872,1751
284,873,1752
285,874,1753
289,878,1768
290,879,1769
292,880,1779
293,884,1781
296,891,1795
297,892,1796
298,894,1798
299,903,1800
300,908,1805
301,912,1818
302,913,1819
308,918,1836
309,926,1839
313,927,1845
314,928,1847
315,929,1848
316,930,1857
318,934,1868
322,939,1871
323,947,1879
324,952,1880
325,953,1890
326,954,1896
327,955,1899
328,960,1909
329,961,1910
330,962,1929
331,963,1930
332,964,1933
333,965,1936
334,970,1937
336,971,1938
337,972,1948
338,978,1957
339,979,1959
340,980,1960
341,982,1972
343,984,1979
344,985,1981
345,986,1983
349,989,1989
350,990,2002
351,991,2004
352,992,2021
353,993,2022
354,999,2023
355,1000,2025
356,1002,2041
357,1003,2056
358,1004,2059
359,1014,2061
360,1015,2069
361,1029,2072
362,1030,2078
363,1031,2079
364,1032,2088
365,1036,2089
366,1037,2090
369,1043,2091
370,1044,2092
371,1048,2107
372,1049,2108
373,1050,2112
374,1054,2121
375,1055,2122
376,1056,2123
377,1080,2131
378,1081,2134
379,1082,2149
380,1083,2150
381,1090,2151
382,1093,2152
387,1096,2154
388,1097,2164
389,1098,2166
390,1099,2174
393,1107,2175
394,1108,2176
395,1111,2179
399,1112,2195
400,1113,2198
402,1118,2199
403,1121,2212
404,1122,2213
407,1124,2214
408,1128,2221
409,1131,2234
410,1139,2235
411,1140,2236
412,1150,2237
413,1153,2238
414,1154,2247
415,1155,2248
416,1156,2249
417,1157,2251
418,1158,2252
422,1159,2254
423,1169,2255
424,1172,2256
425,1174,2257
426,1175,2260
427,1176,2263
428,1177,2267
430,1178,2299
431,1179,2316
432,1180,2318
433,1181,2331
434,1186,2332
435,1187,2335
436,1188,2344
437,1190,2345
440,1191,2350
443,1194,2351
444,1198,2358
445,1202,2359
448,1211,2365
449,1212,2380
451,1213,2392
452,1214,2393
453,1215,2394
454,1219,2397
455,1222,2400
456,1223,2401
457,1224,2402
458,1225,2407
459,1230,2410
460,1234,2413
463,1236,2417
465,1237,2418
469,1238,2420
470,1239,2423
471,1240,2424
472,1243,2436
473,1248,2437
474,1256,2446
475,1258,2448
476,1261,2449
477,1266,2451
478,1267,2453
479,1268,2454
480,1269,2465
481,1272,2467
483,1273,2468
484,1278,2470
485,1279,2476
486,1280,2483
487,1283,2489
488,1284,2500
489,1290,2501
490,1298,2503
491,1300,2505
492,1303,2511
493,1304,2512
495,1305,2513
498,1306,2514
501,1307,2515
502,1314,2516
504,1317,2518
505,1323,2523
506,1324,2524
507,1328,2534
508,1329,2536
509,1333,2547
510,1334,2551
511,1339,2552
515,1343,2559
516,1344,2560
517,1355,2564
518,1356,2568
521,1358,2569
522,1360,2599
526,1361,2600
527,1365,2612
528,1366,2613
529,1371,2614
530,1372,2615
531,1373,2616
532,1377,2620
536,1385,2625
537,1386,2627
538,1391,2631
539,1395,2633
540,1397,2641
541,1400,2645
542,1401,2648
543,1416,2656
545,1421,2657
546,1422,2664
548,1425,2667
549,1426,2673
551,1430,2676
552,1433,2677
553,1439,2678
557,1440,2682
558,1442,2697
559,1443,2701
560,1444,2702
561,1446,2715
562,1450,2716
563,1451,2719
564,1452,2726
565,1453,2732
566,1454,2741
567,1455,2742
568,1456,2743
575,1457,2745
576,1458,2746
578,1460,2752
579,1463,2753
580,1465,2759
